number,value,datetime_start,datetime_complete,duration,params_attention_heads,params_colonization_expert_weight,params_colonization_threshold,params_colonization_weight,params_coord_embed_base,params_decline_expert_weight,params_decline_threshold,params_decline_weight,params_dropout_rate,params_hidden_dim_1_base,params_hidden_dim_2_base,params_hidden_dim_3_base,params_jump_expert_weight,params_jump_threshold,params_jump_weight,params_learning_rate,params_pde_expert_weight,params_pde_weight,params_weight_decay,state
20,567.4631829497839,2025-04-24 20:19:20.085396,2025-04-25 01:22:51.195819,0 days 05:03:31.110423,4,0.6879082321389851,0.14913706000141147,9.6661726913478,4,0.6492219081312312,55.02991884822071,4.037677979482558,0.11549007998447319,11,6,7,0.5681139558702257,84.72528082300295,6.0267225770136115,0.0006052902610668482,0.5273145000499233,9.918469652106323,1.0626801628778867e-07,COMPLETE
21,566.1658849647308,2025-04-24 20:19:20.098989,2025-04-25 01:37:58.823214,0 days 05:18:38.724225,4,0.6711120731528121,0.15553039965114757,9.7532695089479,4,0.6456093984716176,55.401590307345366,4.082643943639809,0.11096367325753277,11,6,7,0.5687183938480146,75.83775252290734,6.0267225770136115,0.0005875920584736576,0.5319541421746606,9.964543974942778,1.0487225841430677e-07,COMPLETE
22,591.6341173464825,2025-04-24 20:19:20.112381,2025-04-25 01:54:33.163769,0 days 05:35:13.051388,4,0.6656323961620945,0.15674368020041216,9.762502584862888,4,0.6424952652550133,42.86834467560792,4.082643943639809,0.11096367325753277,11,6,7,0.5680056997187877,59.25793601035767,6.232680777709965,0.0005637366202556486,0.5273145000499233,8.546450996542411,6.541541453073624e-07,COMPLETE
23,808.9947690023768,2025-04-24 20:19:20.126183,2025-04-25 02:00:34.646807,0 days 05:41:14.520624,5,0.6038994444722598,0.15827026735179095,8.93053359792161,4,0.7479287954068051,56.98756691373163,4.082643943639809,0.2202259292197384,12,6,7,0.6680823878287953,76.9941849399165,6.232680777709965,0.00021900825953623986,0.6395797456892097,4.967973931111567,2.536551505273766e-07,COMPLETE
24,656.653637926279,2025-04-24 20:19:20.140244,2025-04-25 02:10:43.209443,0 days 05:51:23.069199,4,0.7014451678493423,0.15674368020041216,8.93053359792161,5,0.6424952652550133,49.824005897612366,6.934540005042189,0.20772426467602428,8,7,7,0.7243013620843857,84.72528082300295,6.232680777709965,0.0005637366202556486,0.5273145000499233,7.1762944864728135,1.701046642844934e-07,COMPLETE
25,524.7578443910372,2025-04-24 20:19:20.154593,2025-04-25 02:30:17.274434,0 days 06:10:57.119841,6,0.6038994444722598,0.17014667404757933,9.762502584862888,2,0.7479287954068051,34.661205286371036,5.854631221378225,0.3353262051364367,18,7,5,0.5680056997187877,106.9406365130335,2.6655567447823585,0.0003429667321326434,0.545238217259996,8.982475473133988,4.833881100406519e-07,COMPLETE
26,628.6343847208719,2025-04-24 20:19:20.168425,2025-04-25 02:46:26.395579,0 days 06:27:06.227154,6,0.5733967028866028,0.17930784675752362,8.61556962988984,2,0.7523754916367584,28.32194029279087,6.2020233517783545,0.3489340151780574,18,7,5,0.5979692245516318,106.9406365130335,1.1712315497502326,0.0003429667321326434,0.6226609600737365,8.789375795240273,8.78623688597606e-07,COMPLETE
27,843.7820875350267,2025-04-24 20:19:20.182501,2025-04-25 02:50:56.897216,0 days 06:31:36.714715,6,0.61231475533153,0.1742715974888694,7.153875157080701,8,0.7523754916367584,28.32194029279087,6.2020233517783545,0.4439836389304148,20,5,5,0.6503152663213415,70.4114246334323,3.1123559915860177,0.0002144933710100907,0.686841641720509,4.967973931111567,3.551637544516534e-07,COMPLETE
28,656.2463694147351,2025-04-24 20:19:20.196484,2025-04-25 03:02:58.071285,0 days 06:43:37.874801,5,0.5242246107908175,0.1742715974888694,5.451798712798487,2,0.543540305362842,34.54959802805807,8.054895323185818,0.34188299349949985,18,9,5,0.7648264734247756,114.8706950451406,4.204821010014943,0.0003429667321326434,0.55711479969281,6.817888679876604,8.78623688597606e-07,COMPLETE
29,580.6791110965092,2025-04-24 20:19:20.210557,2025-04-25 03:17:59.754088,0 days 06:58:39.543531,5,0.5725344534615998,0.1963488135397577,9.76345144247842,6,0.8061861550296402,79.11578544101438,3.5933511809792753,0.4208799472720689,21,7,4,0.5370535309747473,93.77028648373451,3.1123559915860177,0.0006424106965053611,0.5136725606376112,8.952676650608726,3.970839541258368e-06,COMPLETE
30,654.7284987208794,2025-04-24 20:19:20.225555,2025-04-25 03:28:54.189143,0 days 07:09:33.963588,5,0.5725344534615998,0.1963488135397577,9.76345144247842,6,0.8061861550296402,79.11578544101438,3.5933511809792753,0.4208799472720689,21,7,4,0.5370535309747473,93.77028648373451,3.1123559915860177,0.0006424106965053611,0.5136725606376112,8.952676650608726,3.970839541258368e-06,COMPLETE
31,620.9271088418512,2025-04-24 20:19:20.239863,2025-04-25 03:43:53.286776,0 days 07:24:33.046913,4,0.706003225714601,0.14539477334883194,7.314507993898385,4,0.624238248910688,62.31599573216861,4.817184709750501,0.13601375391284423,11,5,7,0.597946745298249,138.67750935258073,5.627974389736456,0.00043828039209831723,0.5649429156561611,9.970961187974432,1.6373992989779432e-07,COMPLETE
32,705.0799200693563,2025-04-24 20:19:20.254146,2025-04-25 03:50:16.094824,0 days 07:30:55.840678,4,0.6795354580170943,0.14539477334883194,9.162143183163682,4,0.7356355993263816,49.15308157708293,5.743792457737291,0.19352840994997123,13,8,7,0.5634563146026245,99.35748434116883,6.775514393971983,0.000676460614415771,0.42636816364811353,9.487241913573797,4.475505882306331e-07,COMPLETE
33,920.8512829925872,2025-04-24 20:19:20.268090,2025-04-25 03:54:24.191971,0 days 07:35:03.923881,4,0.6301439991885139,0.16537347204323313,7.314507993898385,2,0.6679632489872704,40.00333674151269,3.3604424093201826,0.30707181683745116,10,5,5,0.6370551136536963,138.67750935258073,4.829648120384422,0.00017110337328917396,0.6101814872819495,8.383415653525022,1.4986757855086047e-07,COMPLETE
34,549.8453017924155,2025-04-24 20:19:20.282992,2025-04-25 04:11:17.600514,0 days 07:51:57.317522,4,0.6795354580170943,0.14539477334883194,8.4178263319852,5,0.5538237027877302,69.51952951448281,1.6103824098635875,0.13601375391284423,18,8,8,0.597946745298249,74.7253525130201,8.828098767694765,0.00043828039209831723,0.4960266332554615,4.579907743289364,8.710721316354404e-07,COMPLETE
35,571.1401779449676,2025-04-24 20:19:20.297466,2025-04-25 04:27:25.460358,0 days 08:08:05.162892,6,0.7114268626026802,0.12509390780748292,8.482144298753457,5,0.5538237027877302,70.69857207829556,1.9168478036759773,0.13601375391284423,18,8,8,0.5454660079876886,67.91486563169232,8.828098767694765,0.0004304625750684979,0.44023507795388883,4.881995236259547,1.2458283422378434e-06,COMPLETE
36,849.8607255706617,2025-04-24 20:19:20.311783,2025-04-25 04:31:33.341813,0 days 08:12:13.030030,4,0.6024397032470978,0.11278983561485452,1.8734739437224346,5,0.5538237027877302,79.16407722909655,1.9168478036759773,0.13601375391284423,17,8,8,0.5948805544258147,172.76615476845546,8.211508292195713,0.0002711165826489665,0.44023507795388883,3.0865025204944243,1.2458283422378434e-06,COMPLETE
37,883.2526649250506,2025-04-24 20:19:20.326386,2025-04-25 04:35:40.511915,0 days 08:16:20.185529,5,0.6301439991885139,0.1399352652946551,9.29580561276194,8,0.6168953862007945,69.4482360570989,1.9168478036759773,0.3137626891308885,14,5,8,0.5454660079876886,114.8706950451406,8.964774613874072,0.00016711840653238402,0.5022469639181167,5.362735001538134,3.573601302486262e-07,COMPLETE
